Sl. No,State,Two Wheelers (Category L1 & L2 as per Central Motor Vehicles Rules,Two Wheelers (Category L2 (CMVR)),Two Wheelers (Max power not exceeding 250 Watts),Two wheelers,Three Wheelers (Category L5 slow speed as per CMVR),Three Wheelers (Category L5 as per CMVR),Three wheelers,Passenger Cars ,Buses,Total in state
1,Meghalaya,0,0,0,0,0,0,0,6,0,6
2,Nagaland,0,20,3,23,0,0,0,1,0,24
3,Manipur,16,8,11,35,0,5,5,12,0,52
4,Tripura,28,9,36,73,0,0,0,8,0,81
5,Andaman & Nicobar islands,0,0,0,0,0,0,0,82,0,82
6,Himachal Pradesh,0,0,0,0,0,0,0,98,0,98
7,Jammu & Kashmir,2,76,152,230,0,0,0,208,0,438
8,Goa,0,0,0,0,0,0,0,513,1,514
9,Dadra and Nagar Haveli,4,0,9,13,0,0,0,803,0,816
10,Jharkhand,75,228,736,1039,9,7,16,655,0,1710
11,Assam,463,138,1006,1607,0,117,117,151,0,1875
12,Chandigarh,612,18,896,1526,0,0,0,974,0,2500
13,Bihar,252,430,2148,2830,6,64,70,271,0,3171
14,Odisha,377,824,2031,3232,0,37,37,594,0,3863
15,Uttarkhand,423,168,3239,3830,45,38,83,265,0,4178
16,Chhattisgarh,613,382,2078,3073,58,106,164,997,0,4234
17,Madhya Pradesh,503,378,2904,3785,8,106,114,2562,0,6461
18,Punjab,698,300,1968,2966,0,5,5,3567,0,6538
19,Telangana,535,711,2256,3502,2,0,2,5530,0,9034
20,Andhra Pradesh,431,692,4689,5812,0,0,0,3680,0,9492
21,Kerala,432,78,4961,5471,1,0,1,5729,1,11202
22,Karnataka,784,1104,3252,5140,2,0,2,8242,2,13386
23,West Bengal,1451,65,10781,12297,3,0,3,1840,0,14140
24,Rajasthan,2036,1153,8375,11564,19,64,83,4116,0,15763
25,Tamil Nadu,491,863,8260,9614,0,0,0,7132,0,16746
26,Delhi,1395,251,5018,6664,0,1,1,12695,21,19381
27,Haryana,3162,1504,13908,18574,113,24,137,4878,0,23589
28,Uttar Pradesh,2954,2355,15199,20508,117,139,256,5445,0,26209
29,Gujarat,7182,217,8476,15875,0,4,4,15388,0,31267
30,Maharashtra,2630,2097,10146,14873,6,3,9,19129,2,34013
